Aleatorio,Diseño,Esfera,Aprendizaje,Valor,Sentido,Reactivo
0.587,41,Familia,Modelos,Honestidad,Positivo,A mis hijos les demuestro con el ejemplo que deben ser buenas personas.
0.270,86,Amigos/Vecinos,Reglas,Apoyo,Negativo,A veces es mejor evitar entrometerse en los asuntos de los vecinos.
0.531,2,Personal,Experiencia,Honestidad,Negativo,Algunas veces decir mentiras me ha evitado problemas.
0.293,24,Personal,Reglas,Responsabilidad,Negativo,Algunas veces es bueno evitar responsabilidades.
0.887,78,Amigos/Vecinos,Modelos,Progreso,Negativo,Algunas veces mis amigos se dan por vencidos.
0.612,32,Familia,Experiencia,Honestidad,Negativo,Algunas veces mis hijos dicen mentiras.
0.465,62,Amigos/Vecinos,Experiencia,Honestidad,Negativo,Algunas veces un vecino hace cosas malas.
0.963,84,Amigos/Vecinos,Reglas,Responsabilidad,Negativo,Algunos amigos pueden esperar más tiempo para que yo les pueda pagar.
0.443,64,Amigos/Vecinos,Experiencia,Responsabilidad,Negativo,Algunos de mis amigos son irresponsables.
0.005,5,Personal,Experiencia,Apoyo,Positivo,Ayudar a otros me hace sentir bien.
0.353,65,Amigos/Vecinos,Experiencia,Apoyo,Positivo,Ayudo a mis vecinos cuando lo necesitan.
0.925,35,Familia,Experiencia,Apoyo,Positivo,Ayudo en las labores de mi casa.
0.987,28,Personal,Reglas,Progreso,Negativo,Debo ser agradecido con lo poco que tengo.
0.259,76,Amigos/Vecinos,Modelos,Apoyo,Negativo,En ciertas ocasiones mis vecinos son egoístas.
0.841,30,Personal,Reglas,Organización,Negativo,En ocasiones las cosas salen diferente de la manera en la que las planeamos.
0.635,74,Amigos/Vecinos,Modelos,Responsabilidad,Negativo,En ocasiones mis vecinos son perezosos.
0.813,22,Personal,Reglas,Honestidad,Negativo,En ocasiones mostrar bondad puede ser señal de debilidad.
0.950,59,Familia,Reglas,Organización,Positivo,Enseño a mis hijos la importancia de administrar el dinero
0.727,83,Amigos/Vecinos,Reglas,Responsabilidad,Positivo,Es importante pagar el dinero que le debo a mis vecinos.
0.216,36,Familia,Experiencia,Apoyo,Negativo,Es mejor evitar que los hijos sean arriesgados.
0.809,26,Personal,Reglas,Apoyo,Negativo,Es mejor hacer las cosas uno mismo si quiere que salgan bien.
0.658,56,Familia,Reglas,Apoyo,Negativo,Es preferible que los hijos aprendan a hacer las cosas solos.
0.010,8,Personal,Experiencia,Progreso,Negativo,Está bien darse por vencido en algunas ocasiones.
0.142,61,Amigos/Vecinos,Experiencia,Honestidad,Positivo,Hago cosas buenas por mis amigos.
0.405,13,Personal,Modelos,Responsabilidad,Positivo,Hay personas que quieren ser tan responsables como yo lo soy.
0.176,40,Familia,Experiencia,Organización,Negativo,He organizado reuniones familiares que han sido malas experiencias.
0.167,42,Familia,Modelos,Honestidad,Negativo,He visto a mis padres decir mentiras para evitar problemas.
0.175,44,Familia,Modelos,Responsabilidad,Negativo,He visto cómo mis padres se han atrasado en sus pagos por comprar alimentos.
0.599,72,Amigos/Vecinos,Modelos,Honestidad,Negativo,He visto que algunos de mis amigos dicen mentiras.
0.542,48,Familia,Modelos,Progreso,Negativo,He visto que en mi familia han tenido problemas difíciles de superar.
0.670,50,Familia,Modelos,Organización,Negativo,He visto que mi pareja hace las cosas bien con poca organización.
0.255,12,Personal,Modelos,Honestidad,Negativo,La gente dice que los puedo hacer cambiar de opinión con facilidad.
